tour_date,tour_year,tour_month,num_guides,headcount
2018-01-01,2018,1,1,37.0
2018-01-02,2018,1,6,231.0
2018-01-03,2018,1,5,173.0
2018-01-04,2018,1,4,106.0
2018-01-05,2018,1,3,123.0
2018-01-06,2018,1,2,69.0
2018-01-07,2018,1,1,28.0
2018-01-08,2018,1,2,67.0
2018-01-09,2018,1,2,87.0
2018-01-10,2018,1,2,83.0
2018-01-11,2018,1,2,97.0
2018-01-12,2018,1,3,85.0
2018-01-13,2018,1,3,77.0
2018-01-14,2018,1,2,63.0
2018-01-15,2018,1,2,89.0
2018-01-16,2018,1,2,86.0
2018-01-17,2018,1,2,54.0
2018-01-18,2018,1,2,74.0
2018-01-19,2018,1,2,73.0
2018-01-20,2018,1,2,66.0
2018-01-21,2018,1,1,38.0
2018-01-22,2018,1,2,67.0
2018-01-23,2018,1,2,59.0
2018-01-24,2018,1,2,65.0
2018-01-25,2018,1,2,58.0
2018-01-26,2018,1,1,28.0
2018-01-27,2018,1,2,49.0
2018-01-28,2018,1,2,57.0
2018-01-29,2018,1,2,68.0
2018-01-30,2018,1,2,88.0
2018-01-31,2018,1,2,97.0
2018-02-01,2018,2,2,82.0
2018-02-02,2018,2,2,78.0
2018-02-03,2018,2,2,45.0
2018-02-04,2018,2,2,66.0
2018-02-05,2018,2,2,78.0
2018-02-06,2018,2,2,76.0
2018-02-07,2018,2,2,59.0
2018-02-08,2018,2,2,77.0
2018-02-09,2018,2,2,91.0
2018-02-10,2018,2,2,72.0
2018-02-11,2018,2,1,38.0
2018-02-12,2018,2,2,72.0
2018-02-13,2018,2,2,96.0
2018-02-14,2018,2,2,45.0
2018-02-15,2018,2,1,41.0
2018-02-16,2018,2,2,83.0
2018-02-17,2018,2,2,82.0
2018-02-18,2018,2,2,64.0
2018-02-19,2018,2,2,87.0
2018-02-20,2018,2,2,119.0
2018-02-21,2018,2,2,88.0
2018-02-22,2018,2,2,110.0
2018-02-23,2018,2,2,53.0
2018-02-24,2018,2,2,60.0
2018-02-25,2018,2,2,70.0
2018-02-26,2018,2,2,48.0
2018-02-27,2018,2,2,79.0
2018-02-28,2018,2,2,64.0
2018-03-01,2018,3,2,130.0
2018-03-02,2018,3,3,87.0
2018-03-03,2018,3,2,57.0
2018-03-04,2018,3,1,32.0
2018-03-05,2018,3,3,80.0
2018-03-06,2018,3,2,119.0
2018-03-07,2018,3,3,103.0
2018-03-08,2018,3,2,86.0
2018-03-09,2018,3,3,82.0
2018-03-10,2018,3,2,85.0
2018-03-11,2018,3,2,71.0
2018-03-12,2018,3,3,73.0
2018-03-13,2018,3,3,100.0
2018-03-14,2018,3,3,118.0
2018-03-15,2018,3,2,73.0
2018-03-16,2018,3,3,79.0
2018-03-17,2018,3,2,60.0
2018-03-18,2018,3,1,32.0
2018-03-19,2018,3,3,94.0
2018-03-20,2018,3,2,94.0
